time,immune
0,480
1,494
2,516
3,533
4,556
5,577
6,599
7,616
8,627
9,643
10,659
11,672
12,697
13,707
14,707
15,707
16,707
17,708
18,709
19,711
20,711
21,712
22,712
23,713
24,714
25,715
26,715
27,715
28,715
29,715
30,715
31,715
32,715
33,715
34,715
35,715
36,715
37,715
38,715
39,715
40,715
41,715
42,715
43,715
44,715
45,715
46,715
47,715
48,715
49,715
50,715
51,715
52,715
53,715
54,715
55,715
56,715
57,715
58,715
59,715
60,715
61,715
62,715
63,715
64,715
65,715
66,715
67,715
68,715
69,715
70,715
71,715
72,715
73,715
74,715
75,715
76,715
77,715
78,715
79,715
80,715
81,715
82,715
83,715
84,715
85,715
86,715
87,715
88,715
89,715
90,715
91,715
92,715
93,715
94,715
95,715
96,715
97,715
98,715
99,715
100,715
101,715
