time,cases
0,500
1,473
2,451
3,425
4,384
5,348
6,313
7,276
8,237
9,192
10,159
11,119
12,96
13,67
14,68
15,63
16,49
17,33
18,30
19,28
20,24
21,23
22,20
23,22
24,16
25,14
26,15
27,15
28,14
29,14
30,12
31,12
32,8
33,9
34,8
35,8
36,6
37,4
38,4
39,5
40,4
41,3
42,3
43,3
44,4
45,4
46,4
47,3
48,3
49,2
50,2
51,2
52,2
53,1
54,1
55,1
56,1
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
